source	heading	target
05-css-rendering.md	Keep layer textures small (scale up a small layer when quality allows)	dropped: disputed by verify/05 (Chromium rasters a painted layer at its on-screen scale); the correction is stated in CSS-06 Why and Do
05-css-rendering.md	Put `contain: content` on independent widgets, and `contain: strict` plus a size on fixed panels	CSS-08 (verify/05 corrected the Safari caveats, which the Chromium-only target drops; CSS Wizardry numbers confirmed)
05-css-rendering.md	Skip offscreen sections with `content-visibility: auto` and `contain-intrinsic-size: auto <length>`	CSS-09 (verify/05 corrected the Safari status; not needed for the Chromium-only target)
05-css-rendering.md	Hide inactive views with `content-visibility: hidden`, not `display: none`, when you will show them again soon	CSS-10
05-css-rendering.md	Stop canvas and WebGL render loops for charts that the browser skips	-> gpu-canvas-and-frames.md (CNV-20); CSS-09 and the CSS checklist point to it
05-css-rendering.md	Use `container-type: inline-size`, and do not resize query containers on every frame	CSS-11 (verify/05: size containers no longer apply layout containment)
05-css-rendering.md	Write simple, targeted selectors, then check the costly ones with Selector Stats	CSS-12
05-css-rendering.md	Toggle state on the smallest element that needs it	CSS-12
05-css-rendering.md	Do not style frequently-mutated lists with `:nth-child()` or sibling combinators	CSS-13
05-css-rendering.md	Anchor `:has()` to narrow containers and limit its argument	CSS-13
05-css-rendering.md	Keep fast-changing custom properties off `:root`, and register them with `inherits: false`	CSS-14 (verify/05 corrected: about 7,000 elements, about 835 times, 32 ms for 25,000 registrations)
05-css-rendering.md	Reduce the number of elements that match style rules	CSS-12 (no rules on every element); DOM size itself is DOM-01
05-css-rendering.md	Apply `text-wrap: balance` only to short headings	CSS-22
05-css-rendering.md	Batch layout reads before style writes (no forced synchronous layout)	-> js-events-and-input.md (EVT-07); the CSS checklist points to it
05-css-rendering.md	Know which property changes cause layout, paint, or only property-tree updates (current Blink data)	-> pipeline.md §E; CSS §0 summarizes it with the verify/05 corrections (z-index repaints the stacking context; clip-path is clip plus paint)
05-css-rendering.md	Make repaint areas small and separate	CSS-15 (verify/05 disputed the "union of dirty areas" Why; the Do is kept and the doubt is stated in Avoid)
05-css-rendering.md	Do not repaint blur effects often (box-shadow, filter blur, text-shadow)	CSS-02
05-css-rendering.md	Do not place `backdrop-filter` over content that changes every frame	CSS-02 (the 30% field report is not quoted)
05-css-rendering.md	Do not wrap animated layers or canvases in rounded `overflow: hidden` clips without need	CSS-07 (verify/05 corrected: fast-path conditions from property_tree_manager.cc)
05-css-rendering.md	Do not animate large gradient or image backgrounds, and do not ship oversized images	CSS-15; image sizing -> html-media-and-fonts.md
05-css-rendering.md	Use `image-rendering: pixelated` for deliberately upscaled low-resolution canvases	CSS-25
05-css-rendering.md	Inline critical CSS and load the rest without blocking render	-> html-loading.md (HTML-09) (verify/05 corrected: use the media swap or fetchpriority=low, not a Highest-priority preload)
05-css-rendering.md	Remove unused CSS and split CSS by route	-> html-loading.md (HTML-08)
05-css-rendering.md	Replace CSS `@import` with `<link>` elements	-> html-loading.md (HTML-07) (verify/05 corrected the preload-scanner claim for inline <style>)
05-css-rendering.md	Put a `media` attribute on conditional stylesheets	-> html-loading.md (HTML-08)
05-css-rendering.md	Choose `font-display` by role: `optional` plus preload for body text, `swap` only with a metric-matched fallback	-> html-media-and-fonts.md (MEDIA-08)
05-css-rendering.md	Build a metric-matched fallback `@font-face` with `size-adjust` and metric overrides	-> html-media-and-fonts.md (MEDIA-09) (verify/05 corrected: one fallback face per local font)
05-css-rendering.md	Subset fonts and scope them with `unicode-range`	-> html-media-and-fonts.md (MEDIA-10)
05-css-rendering.md	Reserve the scrollbar gutter where content can overflow later	-> html-media-and-fonts.md (MEDIA-12 in the design); the CSS checklist points to it
05-css-rendering.md	Make touch and wheel listeners passive, and declare chart gestures with `touch-action`	-> js-events-and-input.md (EVT-09); the CSS checklist points to it
05-css-rendering.md	Use `overscroll-behavior: contain` on nested scrollers instead of JS scroll locks	CSS-23
05-css-rendering.md	Keep scroll anchoring on, and opt out only per container	CSS-24
05-css-rendering.md	Check rendering changes with the right DevTools view before and after	-> measure.md (the Verify lines use its recipes; Selector Stats in CSS-12); the Firefox and Safari parts dropped: Chromium-only target
verify/05-css-rendering.verify.md	Missing but important 1: font-variant-numeric: tabular-nums on ticking numbers	-> js-dom-and-lists.md (DOM-12); the CSS checklist points to it
verify/05-css-rendering.verify.md	Missing but important 2: render surfaces from blend modes, masks, clip paths and filters	CSS-07
verify/05-css-rendering.verify.md	Missing but important 3: position: sticky instead of scroll listeners	CSS-19
verify/05-css-rendering.verify.md	Missing but important 4: 3D-context compositing reasons	CSS-06
verify/05-css-rendering.verify.md	Missing but important 5: interpolate-size and calc-size still animate height	CSS-01 (Avoid)
verify/05-css-rendering.verify.md	Missing but important 6: explicit contain: layout next to container-type	CSS-11
verify/05-css-rendering.verify.md	Missing but important 7: Safari contain: layout slow forced layouts	dropped: Safari-only; the target is Chromium
verify/05-css-rendering.verify.md	Missing but important 8: a small image, not a scaled painted box, for a cheap upscaled texture	CSS-06
01-critical-rendering-path.md	Keep selectors simple and style changes narrow	CSS-12
01-critical-rendering-path.md	Keep the DOM small and shallow; create hidden UI on demand	-> js-dom-and-lists.md (DOM-01)
01-critical-rendering-path.md	Skip rendering of off-screen sections with content-visibility:auto	CSS-09
01-critical-rendering-path.md	Keep inactive views with content-visibility:hidden instead of display:none	CSS-10
01-critical-rendering-path.md	Contain independent widgets such as chart containers	CSS-08
01-critical-rendering-path.md	Batch DOM reads before writes; never read geometry after a write in the same task	-> js-events-and-input.md (EVT-07)
01-critical-rendering-path.md	Avoid layout-forcing reads in pointer handlers	-> js-events-and-input.md (EVT-08)
01-critical-rendering-path.md	Animate only compositor properties: transform, opacity, filter	CSS-01, CSS-03 (the open background-color and clip-path question is settled by verify/05)
01-critical-rendering-path.md	Use will-change sparingly and just in time	CSS-05
01-critical-rendering-path.md	Reduce paint area and paint cost	CSS-15, CSS-02 (verify/01 corrected: compositor-run transform, opacity and filter changes skip paint)
01-critical-rendering-path.md	Decode large images before they enter the frame	-> html-media-and-fonts.md (MEDIA-06 in the design)
03-course-js-and-vitals.md	Animate transform and opacity, never layout properties	CSS-01
03-course-js-and-vitals.md	Avoid layout-triggering style changes where you can	CSS-01
03-course-js-and-vitals.md	Skip off-screen rendering with content-visibility	CSS-09, CSS-10
03-course-js-and-vitals.md	Prefer composited CSS animations over requestAnimationFrame-driven JS animations	CSS-16
03-course-js-and-vitals.md	Simplify CSS selectors and reduce the number of invalidated elements	CSS-12
03-course-js-and-vitals.md	Minimize font-swap shifts	-> html-media-and-fonts.md (MEDIA-09, MEDIA-08)
06-js-event-loop-and-scheduling.md	Prefer CSS or Web Animations for declarative motion	CSS-16
06-js-event-loop-and-scheduling.md	Pause off-screen heavy renderers	-> gpu-canvas-and-frames.md (CNV-20); the verify/06 containment caveat is in CSS-09 Avoid
17-collections-batch-01.md	Run script-controlled DOM animations through element.animate(), and animate only transform and opacity	CSS-16
17-collections-batch-01.md	Persist an animation's end state with commitStyles(), not with an endless fill	CSS-17
17-collections-batch-01.md	Control playback with the Animation object: updatePlaybackRate, finished, and document.getAnimations()	CSS-16, CSS-18 (late check: corrected; no rule change needed)
17-collections-batch-02.md	Put non-essential motion behind `prefers-reduced-motion: no-preference`	CSS-21
17-collections-batch-02.md	Listen for the media query `change` event and stop JS, WAAPI, canvas and WebGL animations yourself	CSS-21 (late check: corrected; no rule change needed)
17-collections-batch-02.md	Load animation-only CSS with `<link media="(prefers-reduced-motion: no-preference)">`, but do not expect it to save bytes	CSS-21 (Avoid)
17-collections-batch-02.md	Serve a static image instead of an animated GIF, WebP or AVIF to reduced-motion users with `<picture>`	dropped: partly covered by CSS-21 (reduced motion stops all motion); no rule for swapping animated images
17-collections-batch-02.md	Use the `Sec-CH-Prefers-Reduced-Motion` client hint only as a Chromium-only extra	dropped: a server header whose Critical-CH form costs a retry; the media query stays the source of truth
17-collections-batch-02.md	Do not rely on a global "1 ms duration" reset to stop motion; stop script and canvas animation explicitly	CSS-21 (Avoid) (late check: corrected; no rule change needed)
17-collections-batch-02.md	Do not animate a geometric property and `transform` on the same element at the same time	CSS-04; the Firefox-only compositor detail dropped for the Chromium-only target (late check: corrected; no rule change needed)
17-collections-batch-02.md	Check that animations run on the compositor with the Firefox Animations panel lightning bolt	dropped: Firefox tool; the target is Chromium only
17-collections-batch-02.md	Verify with Chrome DevTools, using the current tool names (FPS meter, Waterfall and Firefox paint flashing are outdated)	-> measure.md
17-collections-batch-02.md	Do not animate blur or shadow; fade a pre-painted layer instead	CSS-02 (late check: corrected, but Chromium compositor_animations.cc marks blur filters as not composited; CSS-02 kept)
17-collections-batch-02.md	Add `will-change` just before a change and remove it after; drop the `translateZ(0)` hack	CSS-05
17-collections-batch-03.md	Run DOM UI animations as CSS or WAAPI on compositable properties, not as rAF style writes	CSS-16 (late check: corrected; no rule change needed)
17-collections-batch-03.md	Omit the start keyframe to retarget an animation from where it is now	CSS-17 (late check: corrected; CSS-17 Avoid fixed)
17-collections-batch-03.md	Let the browser remove replaced fill animations, and never call persist() in hot handlers	CSS-17 (Avoid) (late check: corrected; no rule change needed)
17-collections-batch-03.md	Commit the final state with commitStyles(), then cancel(), instead of filling forever	CSS-17
17-collections-batch-03.md	Sequence animations with animation.finished and animation.ready, not timers or delay arithmetic	CSS-16
17-collections-batch-03.md	Control CSS animations from JS with getAnimations(), for example to pause them in hidden panels	CSS-18
17-collections-batch-03.md	Layer micro-effects on a base animation with composite: 'add' or 'accumulate'	CSS-03 (Avoid: 'add' is a Chromium compositor failure reason per verify/05, so it is not advised on busy pages) (late check: corrected; no rule change needed)
17-collections-batch-03.md	Replace scroll listeners and IntersectionObserver effects with CSS scroll-driven animations	CSS-19 (late check: corrected; no rule change needed)
17-collections-batch-03.md	Declare animation-timeline after the animation shorthand, and give scroll-driven animations a 1ms duration	CSS-19 (the order kept; the 1ms duration is a Firefox workaround, dropped for the Chromium-only target)
17-collections-batch-03.md	Choose view-timeline ranges so that the effect finishes while the element is visible	CSS-19
17-collections-batch-03.md	Inspect DOM animations in the DevTools Animations drawer, and canvas/WebGL animations in the Performance panel	-> measure.md
17-collections-batch-04.md	1. Do not leave `fill: forwards` / `animation-fill-mode: forwards` on after the motion ends	CSS-17 (late check: corrected; no rule change needed)
17-collections-batch-04.md	2. Keep a WAAPI end state with `commitStyles()` and then `cancel()`, not an indefinite fill	CSS-17
17-collections-batch-04.md	3. Let the browser auto-remove replaced WAAPI animations; call `persist()` only on purpose	CSS-17 (Avoid)
17-collections-batch-04.md	4. Replay with WAAPI `play()` on a kept `Animation`, not by toggling a class and forcing a reflow	CSS-17
17-collections-batch-04.md	5. Stop rapid re-triggers from stacking animations: gate on `finished`, or extend the running one	CSS-18
17-collections-batch-04.md	6. Attach animation listeners before the animation starts, and listen for `animationcancel` for cleanup	CSS-16 (Avoid: animationcancel)
17-collections-batch-04.md	7. Give inline text `display: inline-block` before you animate its transform, and scale a wrapper instead of animating `font-size`	CSS-01
17-collections-batch-04.md	8. Use the individual `translate` / `scale` / `rotate` properties so separate animations do not overwrite one transform	CSS-04
17-collections-batch-04.md	9. Layer extra motion with `composite: 'add'` (WAAPI) or `animation-composition: add` (CSS) instead of recomputing the full value in JS	CSS-03 (Avoid: conflicts with the Chromium failure reason in verify/05) (late check: corrected; no rule change needed)
17-collections-batch-04.md	10. Start from the current state with an implicit keyframe instead of reading the start value yourself	CSS-17 (late check: corrected; CSS-17 Avoid fixed)
17-collections-batch-04.md	11. Write keyframes in a valid form, and know which easing applies where	dropped: keyframe syntax, not performance (design §9.1) (late check: corrected; no rule change needed)
17-collections-batch-04.md	12. End exit animations in `display: none`, not in `opacity: 0`, and give Firefox a JS fallback	CSS-26 (the Firefox fallback dropped for the Chromium-only target) (late check: corrected; CSS-26 fixed)
17-collections-batch-04.md	13. Honor `prefers-reduced-motion` in CSS, WAAPI and chart animations, and tone motion down instead of only removing it	CSS-21
17-collections-batch-04.md	14. Do not build on the `Sec-CH-Prefers-Reduced-Motion` client hint; if you use it, know that `Critical-CH` costs a retry	dropped: same as the batch 02 client-hint row
17-collections-batch-04.md	15. Give auto-playing motion a pause control, and implement it with `document.getAnimations()`	CSS-18
17-collections-batch-04.md	16. In browser tests, finish or pause all animations through WAAPI instead of waiting on timers	dropped: test speed, not a runtime performance lever
17-collections-batch-04.md	17. Use native WAAPI for DOM motion; do not ship the `web-animations-js` polyfill or a large library for simple transitions	CSS-16 (Avoid)
17-collections-batch-04.md	18. Treat scroll and view timelines as progressive enhancement; the "only one timeline" text is outdated	CSS-19 (feature check only below the Chromium floor)
15-gaps-round-1.md	Do not expect speed from `contain: style`; it scopes only counters and quotes	CSS-08 (Avoid)
15-gaps-round-1.md	Pause off-screen chart panes with `contentvisibilityautostatechange`, gate it with `CSS.supports`, and keep an IntersectionObserver fallback	-> gpu-canvas-and-frames.md (CNV-20) (late check: corrected; CNV-20 fixed)
15-gaps-round-1.md	Do not animate SVG filters, blur or drop-shadow on live content; use `shape-rendering: crispEdges` for axis-aligned grids	CSS-02 (filters); crispEdges dropped: a sharpness setting with no measured speed effect
15-gaps-round-1.md	Do not animate panel height to or from `auto` in a data-dense UI; if you must, keep it short and Chromium-only	CSS-01 (Avoid)
15-gaps-round-1.md	Move elements with `transform`, never `top`/`left`, to avoid animation-induced layout shifts	CSS-01 (late check: corrected; no rule change needed)
15-gaps-round-2.md	Do not inject style rules at runtime during rendering; ship static CSS and put dynamic values in inline styles or custom properties	CSS-27 (local timings left out)
15-gaps-round-2.md	Share one constructed stylesheet across shadow roots with `adoptedStyleSheets`, and change it rarely	CSS-28
15-gaps-round-2.md	Give each element one animation owner, and give every rAF loop a stop condition	CSS-18; the loop stop condition -> gpu-canvas-and-frames.md (CNV-02)
15-gaps-round-2.md	Size dashboard grid columns with `fr` or `minmax(0, 1fr)`, not `auto`, when cells update live	CSS-29 (one local benchmark; numbers left out) (late check: corrected; no rule change needed)
16-explore-fast-batch-02.md	Never animate layout properties, even on absolutely positioned elements	CSS-01
16-explore-fast-batch-03.md	Hide an element with `display:none`, `visibility:hidden` or `opacity:0` while you lay it out before showing it	CSS-30
16-explore-fast-batch-03.md	Paint decorative backgrounds with CSS gradients instead of image files	-> html-media-and-fonts.md (MEDIA-03)
16-explore-fast-batch-05.md	Animate slide transitions with `transform`, never with `left`/`top`/`width`/`margin`	CSS-01, CSS-31
16-explore-fast-batch-05.md	Build carousels with CSS scroll snap before you reach for a JS library	CSS-31
18-skills-survey-web.md	Chrome team: Modern Web Guidance / content-visibility: auto on self-contained regions, which isolates layout even while on screen	CSS-09 (the containment fact is confirmed by the spec quote in verify/06) (unchecked)
18-skills-survey-web.md	ibelick: fixing-motion-performance / do not animate custom properties that feed transform, opacity or position, or inherited ones	CSS-03 (unchecked)
18-skills-survey-web.md	ibelick: fixing-motion-performance / every rAF loop needs a stop condition; do not mix two animation systems on one element	CSS-18; the loop stop condition -> gpu-canvas-and-frames.md (CNV-02) (unchecked)
18-skills-survey-web.md	ibelick: fixing-motion-performance / will-change for a short time, only where needed	CSS-05 (unchecked)
18-skills-survey-web.md	ibelick: fixing-motion-performance / keep blur animation small, short and one-time	CSS-02 (unchecked)
18-skills-survey-web.md	ibelick: fixing-motion-performance / weak point: animation-timeline: view() with no support guard	CSS-19 (feature check below the Chromium floor) (unchecked)
18-skills-survey-web.md	Vercel plugin: performance-optimizer agent / weak point: will-change: transform for animations as a general rule	CSS-05 (Avoid) (unchecked)
18-skills-survey-web.md	Rules to consider adding / 1. Pause off-screen renderers	-> gpu-canvas-and-frames.md (CNV-20) (unchecked)
18-skills-survey-web.md	Rules to consider adding / 2. Contain self-contained regions that stay on screen	CSS-09 (unchecked)
18-skills-survey-web.md	Rules to consider adding / 14. Do not animate custom properties that feed transform or opacity, and do not animate inherited custom properties	CSS-03 (unchecked)
18-skills-survey-web.md	Rules to consider adding / 15. Every rAF loop has a stop condition, and one element has one animation owner	CSS-18 (unchecked)
18-skills-survey-github.md	GreenSock — gsap-skills gsap-performance / weak point: will-change in CSS on animated elements	CSS-05 (Avoid) (unchecked)
18-skills-survey-github.md	GreenSock — gsap-skills gsap-performance / reuse one tween for high-frequency targets instead of a new tween per mousemove	CSS-17 (keep and replay one Animation) (unchecked)
18-skills-survey-github.md	iart.ai — web-animation-skills 60fps-animation / compositor-only equivalents; verify no Layout/Paint in the animation window	CSS-01, CSS-02 (Verify: measure.md#fps-css) (unchecked)
18-skills-survey-github.md	iart.ai — web-animation-skills 60fps-animation / weak point: grid-template-rows 0fr to 1fr called compositor-friendly	CSS-01 (Avoid) (unchecked)
18-skills-survey-github.md	GitHub — awesome-copilot performance-optimization / will-change must not sit permanently in base CSS; pair content-visibility with contain-intrinsic-size	CSS-05, CSS-09 (unchecked)
18-skills-survey-github.md	Rules to consider adding / 16. Animations must be compositor-only, and the check is a trace, not a belief	CSS-01 (Verify), CSS-05 (unchecked)
12-canvas2d-and-images.md	Declare `willReadFrequently` explicitly on every 2D context	CNV-17, CNV-14
12-canvas2d-and-images.md	Use `alpha: false` only on opaque 2D canvases, never as a WebGL speed trick	CNV-17; the WebGL half -> gpu-webgl-webgpu.md (GPU-02)
12-canvas2d-and-images.md	Keep label and overlay canvases in the default color format (`srgb`, `unorm8`)	CNV-17 (Avoid: leave `colorSpace` at its default; verify/12 corrected only Safari status)
12-canvas2d-and-images.md	Use `desynchronized: true` only for a pointer-following layer, with no DOM above it	CNV-17 (verify/12 corrected: desktop support only on ChromeOS and Windows; platforms in support-parts)
12-canvas2d-and-images.md	Handle `contextlost`/`contextrestored` on 2D canvases that hold caches	CNV-23 (verify/12 note: 2D `preventDefault()` cancels the restore, and the loss resets state; both in CNV-23)
12-canvas2d-and-images.md	Batch many segments into one path and one stroke per style	CNV-09
12-canvas2d-and-images.md	Group draws by style so state changes happen once per group	CNV-09
12-canvas2d-and-images.md	Reuse a few constant color strings; vary opacity with `globalAlpha`	CNV-10 (verify/12 corrected: same text hits the cache; distinct per-mark strings miss it; the cache size is in support-parts)
12-canvas2d-and-images.md	Avoid `save()`/`restore()` per item in hot loops; set the transform directly	CNV-10
12-canvas2d-and-images.md	Snap geometry to device pixels, with a half-pixel offset for odd-width lines	CNV-11
12-canvas2d-and-images.md	Reuse `Path2D` objects for static shapes and for hit testing	CNV-12, CNV-14 (verify/12 corrected: `isPointInPath` takes x and y in bitmap pixels; stated in CNV-14 Avoid)
12-canvas2d-and-images.md	Keep `shadowBlur` and `ctx.filter` out of per-frame drawing	CNV-12
12-canvas2d-and-images.md	Pre-render repeated sprites into snug caches; do not scale in `drawImage`	CNV-12
12-canvas2d-and-images.md	Split layers by update rate; put static backgrounds in CSS	CNV-07 (verify/12 corrected only a Safari note, not used)
12-canvas2d-and-images.md	Redraw only the dirty region of an overlay	CNV-07
12-canvas2d-and-images.md	Coalesce overlay redraws into one `requestAnimationFrame` per frame	CNV-01 (verify/12 corrected: Chrome already delivers pointermove once per frame; the saving is merging triggers; CNV-01 Why says so); the input handler side -> js-events-and-input.md (EVT-03)
12-canvas2d-and-images.md	Clear with `clearRect` or `reset()`, never by reassigning `width`	CNV-13
12-canvas2d-and-images.md	Hit-test geometrically instead of reading pixels	CNV-14
12-canvas2d-and-images.md	Set `ctx.font` from a small fixed set of strings, and only when it changes	CNV-15 (verify/12 note: Chromium updates style before its same-string check, so the JS-side skip matters; stated in CNV-15 Why)
12-canvas2d-and-images.md	Do not interleave DOM style writes with canvas text calls; rasterize text on OffscreenCanvas	CNV-15, CNV-18 (verify/12 corrected: only canvases in the document force the style update; a detached canvas does not)
12-canvas2d-and-images.md	Cache `measureText` results; rebuild caches when fonts load or DPR changes	CNV-15, CNV-06
12-canvas2d-and-images.md	Load web fonts inside the worker before rasterizing text on an OffscreenCanvas there	CNV-26 (verify/12 corrected: await `face.load()`; `fonts.ready` alone does not load an added font)
12-canvas2d-and-images.md	Choose the label technique by label count and update rate	CNV-16 (verify/12 corrected the chart-library facts, which go to scichart.md)
12-canvas2d-and-images.md	Use a glyph atlas for small closed character sets; per-string textures (with LRU) for free text	-> gpu-webgl-webgpu.md (GPU-25); CNV-16 points to it (verify/12 corrected the chart-library cache facts and asked to drop the unsourced browser glyph-cache claim)
12-canvas2d-and-images.md	Use SDF glyphs when labels scale, rotate, or need halos	-> gpu-webgl-webgpu.md (GPU-25); CNV-16 names SDF
12-canvas2d-and-images.md	Rasterize text at the device pixel ratio and place it on the device pixel grid; rebuild on DPR change	CNV-06, CNV-11, CNV-15 (verify/12 corrected the Safari zoom reason, not used: Chromium-only target)
12-canvas2d-and-images.md	Keep canvas-to-texture uploads premultiplied from end to end	-> gpu-webgl-webgpu.md (GPU-26)
12-canvas2d-and-images.md	Upload only the dirty sub-rectangle into a preallocated atlas texture	-> gpu-webgl-webgpu.md (GPU-24)
12-canvas2d-and-images.md	Do texture uploads at the start of the frame, before draw calls	-> gpu-webgl-webgpu.md (GPU-13)
12-canvas2d-and-images.md	Keep upload sources GPU-backed and 2D-targeted so Chrome can copy GPU-to-GPU	-> gpu-webgl-webgpu.md (GPU-26); CNV-17 Avoid keeps the split into a read canvas and an upload canvas
12-canvas2d-and-images.md	Set flip, premultiply, and color conversion when creating an ImageBitmap, not with `pixelStorei`	-> gpu-webgl-webgpu.md (GPU-26); CNV-19 names the options
12-canvas2d-and-images.md	Keep atlas pages at 4096×4096 or smaller	-> gpu-webgl-webgpu.md (GPU-24)
12-canvas2d-and-images.md	Decode images for canvas/WebGL with `createImageBitmap(blob)`, not from an `<img>`	CNV-19
12-canvas2d-and-images.md	Ask `createImageBitmap` for the final size and format	CNV-19
12-canvas2d-and-images.md	Call `close()` on ImageBitmaps you no longer need	CNV-19, CNV-24
12-canvas2d-and-images.md	Await `img.decode()` before inserting overlay images; use `decoding="async"` only for non-critical images	-> html-media-and-fonts.md (MEDIA-06) (verify/12 corrected the Baseline dates)
12-canvas2d-and-images.md	Consider WebCodecs `ImageDecoder` in a worker for animated or frame-by-frame images	dropped: rare in app canvases; `createImageBitmap(blob)` covers still images (CNV-19)
12-canvas2d-and-images.md	Move heavy canvas rendering to a worker with `transferControlToOffscreen()`	CNV-18
12-canvas2d-and-images.md	Use `OffscreenCanvas` (not a detached `<canvas>`) for caches, atlases, and scratch work	CNV-18 (verify/12 corrected the Why: the reasons are workers, no style dependency by design, and the transfer and blob APIs)
12-canvas2d-and-images.md	Show worker frames with `transferToImageBitmap()` + `bitmaprenderer`, and remember it clears the source	CNV-25
12-canvas2d-and-images.md	Transfer ImageBitmaps and OffscreenCanvases between threads; do not copy pixels	CNV-19, CNV-18
12-canvas2d-and-images.md	Set `canvas.width/height` only when the integer backing size changes, then re-apply state	CNV-04
12-canvas2d-and-images.md	Size the backing store from `devicePixelContentBoxSize` where supported	CNV-04 (no fallback code: Chromium-only target)
12-canvas2d-and-images.md	Budget canvas memory and clamp sizes to per-browser limits	CNV-05 (verify/12 corrected the iOS limits, which are left out: Chromium-only target)
12-canvas2d-and-images.md	Release canvases explicitly when a chart or panel is destroyed	CNV-24 (verify/12 corrected the WebKit Why; the Do is kept)
12-canvas2d-and-images.md	Export charts with `toBlob`/`convertToBlob`, not `toDataURL`	CNV-22
12-canvas2d-and-images.md	Do not depend on HTML-in-canvas yet; track it for accessible chart labels	dropped: origin trial only (verify/12 corrected its dates); it belongs on the support.md §G watch list
10-gpu-webgl.md	Keep alpha: true and write opaque alpha instead of reaching for alpha: false	-> gpu-webgl-webgpu.md (GPU-02); CNV-17 points to it
10-gpu-webgl.md	Use desynchronized only for pen-latency work, and only where Chrome honors it	CNV-17 (the 2D flag); the WebGL flag -> gpu-webgl-webgpu.md (GPU-02)
10-gpu-webgl.md	Size the backing store in device pixels, and only when the size changes	CNV-04
10-gpu-webgl.md	Cap the pixel count: limit devicePixelRatio or render to a smaller back buffer	CNV-05 (the "lower the DPR while panning" variant is kept only as a measured option in Avoid)
10-gpu-webgl.md	Render many charts through one context with viewport + scissor	-> gpu-webgl-webgpu.md (GPU-03); CNV-25 names the bitmaprenderer hand-off
10-gpu-webgl.md	Lose the context of a destroyed chart explicitly	-> gpu-webgl-webgpu.md (GPU-30); CNV-24 points to it
10-gpu-webgl.md	Handle context loss and restore, and keep the data needed to rebuild	-> gpu-webgl-webgpu.md (GPU-29); CNV-23 covers 2D canvases
10-gpu-webgl.md	Move rendering to an OffscreenCanvas in a worker when the main thread is busy	CNV-18 (verify/10 corrected: a lower WebGL context cap per worker; the numbers are in support-parts)
10-gpu-webgl.md	Render on demand and coalesce data ticks into one frame	CNV-02, CNV-01; tick buffering -> js-live-data-and-network.md (DATA-06)
10-gpu-webgl.md	Drive frames with requestAnimationFrame and flush only outside rAF	CNV-01, CNV-02; `gl.flush()` outside rAF -> gpu-webgl-webgpu.md
10-gpu-webgl.md	Cache static layers in a texture and redraw only the layers that change	CNV-07
10-gpu-webgl.md	Put fast-changing overlays and sparse text in DOM or a 2D layer	CNV-08, CNV-07
10-gpu-webgl.md	Draw text from a glyph atlas (or DOM), not one texture or draw per label	-> gpu-webgl-webgpu.md (GPU-24, GPU-25); CNV-16 chooses the technique
10-gpu-webgl.md	Hit-test chart data on the CPU instead of GPU picking with readPixels	-> gpu-webgl-webgpu.md (GPU-28); CNV-14 covers 2D pixel reads
10-gpu-webgl.md	Budget VRAM per pixel and track the bytes of every resource	CNV-05 (the per-window budget); per-resource byte tracking -> gpu-webgl-webgpu.md
10-gpu-webgl.md	Find the bottleneck by shrinking the canvas and zeroing draw counts	-> measure.md (#gpu) and gpu-webgl-webgpu.md (GPU-34)
verify/10-gpu-webgl.verify.md	Missing but important 3. One context → many canvases without CPU readback	CNV-25
verify/12-canvas2d-and-images.verify.md	Missing but important 1. Chrome canvas hibernation in hidden tabs	CNV-20 (Avoid; the delays are in support-parts)
